family,representation,backbone,regressor,fold,seeds,test_n,r2,r2_seed_std,rmse,rmse_seed_std,rmse_bu_per_acre,rmse_bu_per_acre_seed_std,mae,mae_seed_std
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,xgboost,0,3,416,0.8818823437126788,0.0017500162313297863,12.286440504819906,0.090916511528467,12.286440504819906,0.090916511528467,9.342337602224106,0.08196709792365901
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,xgboost,1,3,415,0.8550659635338175,0.0034476171861231816,13.63090885666348,0.16147638034193215,13.63090885666348,0.16147638034193215,10.167405499684284,0.11351718667786005
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,xgboost,2,3,415,0.8859184412576351,0.0017221809164411767,11.597339023707645,0.08752280841720066,11.597339023707645,0.08752280841720066,8.83328320361524,0.05057646124013752
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,xgboost,3,3,415,0.8674749721802245,0.002559519555332025,12.438856913239478,0.11998087729378173,12.438856913239478,0.11998087729378173,9.395104701643488,0.10404703864558505
climate_fusion,presto_daymet,presto_s2_daymet_late_fusion,xgboost,4,3,415,0.7786929306303817,0.005766844891186673,15.257641635418983,0.19963844606118566,15.257641635418983,0.19963844606118566,10.662530224045595,0.09991097366998045
climate_fusion,presto_era5,presto_s2_era5,ebm,0,3,416,0.8369366558537495,0.00044021981005814865,14.436381091398118,0.01948601770492969,14.436381091398118,0.01948601770492969,10.93626629570924,0.026418310338754983
climate_fusion,presto_era5,presto_s2_era5,ebm,1,3,415,0.812790050794047,0.0004999529139336897,15.49295171097504,0.020680955002491817,15.49295171097504,0.020680955002491817,11.752857703105681,0.002330724398963372
climate_fusion,presto_era5,presto_s2_era5,ebm,2,3,415,0.8463429339304777,0.00062710853439841,13.459792402557659,0.02745596691014534,13.459792402557659,0.02745596691014534,10.639784867486556,0.03424036562859621
climate_fusion,presto_era5,presto_s2_era5,ebm,3,3,415,0.8370150026683457,0.0008787761946521132,13.795071605220373,0.0371870852136204,13.795071605220373,0.0371870852136204,10.77139303989688,0.010721787134878102
climate_fusion,presto_era5,presto_s2_era5,ebm,4,3,415,0.71573186578125,0.000989409938905707,17.293797592101267,0.030098036457185683,17.293797592101267,0.030098036457185683,12.202447939151154,0.024997298474632616
climate_fusion,presto_era5,presto_s2_era5,random_forest,0,3,416,0.8350793847765535,0.001030445212797833,14.518305107801963,0.04531435983288264,14.518305107801963,0.04531435983288264,11.24735742306757,0.029032476078452545
climate_fusion,presto_era5,presto_s2_era5,random_forest,1,3,415,0.806982569923858,0.0008957804085235695,15.731393161313639,0.03652812079142244,15.731393161313639,0.03652812079142244,11.964445214550436,0.04084040419610215
climate_fusion,presto_era5,presto_s2_era5,random_forest,2,3,415,0.842824894908131,0.0007800164326206819,13.61299043856526,0.03377998703024591,13.61299043856526,0.03377998703024591,10.66251442646934,0.04723372506671429
climate_fusion,presto_era5,presto_s2_era5,random_forest,3,3,415,0.8245716003442994,0.001263846275373405,14.31195148821753,0.051552809707557684,14.31195148821753,0.051552809707557684,11.109201080252115,0.021852930670019307
climate_fusion,presto_era5,presto_s2_era5,random_forest,4,3,415,0.6809013145760026,0.001550156029715904,18.32264487674445,0.04453841603601602,18.32264487674445,0.04453841603601602,12.817805539584613,0.04076448754260746
climate_fusion,presto_era5,presto_s2_era5,ridge,0,1,416,0.8515959995330561,0.0,13.77220141134502,0.0,13.77220141134502,0.0,10.571094744022076,0.0
climate_fusion,presto_era5,presto_s2_era5,ridge,1,1,415,0.8103675520696273,0.0,15.592882888933119,0.0,15.592882888933119,0.0,11.808170382947807,0.0
climate_fusion,presto_era5,presto_s2_era5,ridge,2,1,415,0.8324513626383501,0.0,14.055084047074114,0.0,14.055084047074114,0.0,10.651811788168299,0.0
climate_fusion,presto_era5,presto_s2_era5,ridge,3,1,415,0.8349551129850518,0.0,13.882022997101517,0.0,13.882022997101517,0.0,10.817745637089372,0.0
climate_fusion,presto_era5,presto_s2_era5,ridge,4,1,415,0.7380964402083452,0.0,16.59960067179526,0.0,16.59960067179526,0.0,12.130913012401166,0.0
climate_fusion,presto_era5,presto_s2_era5,xgboost,0,3,416,0.8606787825760652,0.0011216562298586245,13.34398861914493,0.05379281539032133,13.34398861914493,0.05379281539032133,10.261956944832434,0.0544397983962231
climate_fusion,presto_era5,presto_s2_era5,xgboost,1,3,415,0.8246384383835785,0.0008669468445690945,14.994637432871436,0.03703294691406511,14.994637432871436,0.03703294691406511,11.468003326170892,0.03378653683426141
climate_fusion,presto_era5,presto_s2_era5,xgboost,2,3,415,0.8527260433852658,0.004125357081885573,13.175981095193393,0.18544613046758818,13.175981095193393,0.18544613046758818,10.193776400769092,0.10918475444274191
climate_fusion,presto_era5,presto_s2_era5,xgboost,3,3,415,0.8426650890760153,0.0007628511283917765,13.55386005208321,0.03283472563436214,13.55386005208321,0.03283472563436214,10.478036184655615,0.03122483377546236
climate_fusion,presto_era5,presto_s2_era5,xgboost,4,3,415,0.7151435615148113,0.005301430226076049,17.310959595849102,0.1611501214009336,17.310959595849102,0.1611501214009336,11.97954962366556,0.052940437233703605
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,0,3,416,0.8575334975484368,0.0009102454706714112,13.493814220293586,0.043106325538330374,13.493814220293586,0.043106325538330374,10.283315749575927,0.033427143158080354
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,1,3,415,0.8488458198374605,0.0008390953569979474,13.92125858878302,0.03862830433402633,13.92125858878302,0.03862830433402633,10.357503688665853,0.06844518890208334
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,2,3,415,0.8700625723722482,0.0013742075236026633,12.377246459492696,0.06555024291634279,12.377246459492696,0.06555024291634279,9.250044482290903,0.047157956217486086
climate_fusion,prithvi_daymet,prithvi_eo_v2_300_tl_per_timestep_spatial_mean_daymet_late_fusion,ebm,3,3,415,0.8532682562963502,0.001143406804066155,13.089120236382954,0.051059313295792726,13.089120236382954,0.051059313295792726,10.031315511650893,0.054418299390019714
