family,representation,backbone,regressor,fold,validation_fold,seed,train_n,validation_n,test_n,selected_alpha,validation_rmse,test_r2,test_rmse,test_rmse_bu_per_acre,test_mae
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,0,,2,1245,415,416,,,0.8082317143649242,15.655572517236436,15.655572517236436,11.69384921056397
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,0,,0,1245,415,416,,,0.8464629272364392,14.008356625216122,14.008356625216122,10.432857865553636
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,0,,1,1245,415,416,,,0.8475143925190035,13.960307627291943,13.960307627291943,10.393987103608938
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,0,,2,1245,415,416,,,0.8430472751664431,14.163317511608144,14.163317511608144,10.509256494962253
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,0,,0,1245,415,416,,,0.8570763014520004,13.515517663159782,13.515517663159782,10.300577104436202
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,0,,1,1245,415,416,,,0.855363484249269,13.59626237823584,13.59626237823584,10.358777056341493
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,0,,2,1245,415,416,,,0.8558278923049553,13.574416959686262,13.574416959686262,10.355252553992234
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ridge,1,,0,1246,415,415,100.0,13.160811897559698,0.8556270645478049,13.605452325628676,13.605452325628676,10.425537363075348
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,1,,0,1246,415,415,,,0.805019013608586,15.811250634690676,15.811250634690676,12.01615190718736
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,1,,1,1246,415,415,,,0.8057163425264893,15.78295167544578,15.78295167544578,12.009017947408465
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,1,,2,1246,415,415,,,0.8057941151274585,15.77979236682236,15.77979236682236,11.946927518613695
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,1,,0,1246,415,415,,,0.8448810219866073,14.102709461794955,14.102709461794955,10.497741110928086
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,1,,1,1246,415,415,,,0.842792426684065,14.197334782692703,14.197334782692703,10.70752771952066
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,1,,2,1246,415,415,,,0.8377592703930463,14.422815129999123,14.422815129999123,10.964442173601633
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,1,,0,1246,415,415,,,0.8441450318773507,14.136126301342205,14.136126301342205,10.661578938787816
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,1,,1,1246,415,415,,,0.8429029234512924,14.192344452647625,14.192344452647625,10.695095420923712
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,1,,2,1246,415,415,,,0.8423596829826738,14.216861784110046,14.216861784110046,10.772845852810262
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ridge,2,,0,1246,415,415,100.0,13.934127249905872,0.8661844168502368,12.56077228678711,12.56077228678711,9.6904151934888
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,2,,0,1246,415,415,,,0.8530525081851916,13.162672801771304,13.162672801771304,10.174312455207671
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,2,,1,1246,415,415,,,0.8514506428735373,13.234221076211723,13.234221076211723,10.263238255935269
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,random_forest,2,,2,1246,415,415,,,0.8505811513313932,13.272895946001391,13.272895946001391,10.293083497460817
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,2,,0,1246,415,415,,,0.8840587259709656,11.691817588940703,11.691817588940703,8.98298912507942
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,2,,1,1246,415,415,,,0.886763038812644,11.554658117315155,11.554658117315155,8.943590240478516
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,xgboost,2,,2,1246,415,415,,,0.888052190555111,11.488697560912883,11.488697560912883,8.829224800201784
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,2,,0,1246,415,415,,,0.876054547444901,12.088663692506637,12.088663692506637,9.344593403972292
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,2,,1,1246,415,415,,,0.8757708639655777,12.102489912395269,12.102489912395269,9.262892655176632
climate_fusion,terramind_daymet,terramind_v1_base_s2_6_prithvi_daymet_late_fusion,ebm,2,,2,1246,415,415,,,0.8773965385061923,12.023041961304552,12.023041961304552,9.255194733654468
