representation,state_fips,state_name,experiment_id,representation_type,feature_dim,test_n,test_r2,test_rmse,test_mae,selected_alpha,validation_rmse,split_path
terramind_s2_10,26,Michigan,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,66,-0.41807799691433,21.881083007723877,14.586508424242425,100.0,15.608815133695435,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,27,Minnesota,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,154,0.7282586277176164,15.95533805415177,12.404619103896104,100.0,16.712830989662198,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,29,Missouri,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,116,0.36383116211764865,16.12323745674745,12.455036336206899,100.0,21.23877240535708,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,31,Nebraska,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,216,0.5408225135528548,21.110872847379515,16.947197412037035,100.0,25.03357453932333,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,38,North Dakota,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,88,0.5615886561951414,24.873547799546753,19.887689215909095,100.0,15.152572267935202,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,39,Ohio,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,177,0.07052670622594515,15.631947988338583,12.362271016949153,100.0,18.93765477946435,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,46,South Dakota,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,110,0.7544983948004431,19.025654177987086,14.91206632727273,100.0,17.262039096233707,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_10,55,Wisconsin,frozen_terramind_v1_base_s2_10_zero_pad_ridge_mean_std_joint,frozen_embedding,1536,143,0.3285497419180142,17.043100103525088,13.408630559440557,100.0,12.813602510502607,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,17,Illinois,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,258,0.6338508064840939,13.310204642725367,10.296398620155037,100.0,13.403302658340538,outputs/cohort_covered/loso_state_tabular.csv
terramind_s2_6,18,Indiana,frozen_terramind_v1_base_s2_6_prithvi_ridge_mean_std_joint,frozen_embedding,1536,198,0.38877121597180664,13.419001878467684,10.556406565656564,100.0,12.175629154717129,outputs/cohort_covered/loso_state_tabular.csv
